Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
580201-ปัตตานี จ.ปัตตานี,1982,-,-,-,-,-,-,-,-,-,-,-,-
580201-ปัตตานี จ.ปัตตานี,1983,-,-,-,-,-,-,-,-,-,-,-,-
580201-ปัตตานี จ.ปัตตานี,1984,-,-,-,-,-,-,-,-,-,-,-,-
580201-ปัตตานี จ.ปัตตานี,1985,-,-,-,-,-,-,-,-,-,-,-,-
580201-ปัตตานี จ.ปัตตานี,1986,-,-,-,-,-,-,-,-,-,-,-,-
580201-ปัตตานี จ.ปัตตานี,1987,-,-,4.4,4.3,2.6,3,3.8,3.6,3.5,2.5,2.6,3.7
580201-ปัตตานี จ.ปัตตานี,1988,4.4,4.4,4.1,4,2.4,2.7,3.3,3.4,3.5,3.4,2.8,4.6
580201-ปัตตานี จ.ปัตตานี,1989,4.8,4.5,3.8,2.7,2.7,2.6,2.5,2.8,2.7,2.2,2.2,4
580201-ปัตตานี จ.ปัตตานี,1990,3.7,4.5,4.1,3.3,2.6,3.7,3.2,3.1,2.9,2.5,3.2,4
580201-ปัตตานี จ.ปัตตานี,1991,3.4,3.6,3.5,2.9,2.3,1.6,2.6,2.5,3.1,1.8,3.3,4.1
580201-ปัตตานี จ.ปัตตานี,1992,4.5,3.7,3.6,2.9,2.5,2.7,2.9,4.1,3.5,3.8,4.5,4.8
580201-ปัตตานี จ.ปัตตานี,1993,5,4.8,4.4,3.7,3.1,3.4,3.5,3.2,3.7,3.1,3.2,4
580201-ปัตตานี จ.ปัตตานี,1994,4.9,4,4.5,2.8,3.3,2.6,2.6,2.9,3,2.4,4.5,4.1
580201-ปัตตานี จ.ปัตตานี,1995,5.4,4.7,4.1,4.3,3.7,2.7,2.6,3.2,3.2,2.8,1.6,2.4
580201-ปัตตานี จ.ปัตตานี,1996,3.2,4.9,3.6,2.6,2.3,1.2,1.3,1.6,1.8,1.2,1,0.8
580201-ปัตตานี จ.ปัตตานี,1997,1.9,1.7,1.9,1.2,1.5,1.2,1.2,1.4,0.9,0.8,0.9,1.9
580201-ปัตตานี จ.ปัตตานี,1998,1.9,2.1,2.1,2.1,1.7,1.5,1.5,1.5,1.8,1.9,-,1.2
580201-ปัตตานี จ.ปัตตานี,1999,1.7,1.9,1.3,1.1,0.7,1.4,2.1,1.9,1.7,1.4,1.2,1.1
580201-ปัตตานี จ.ปัตตานี,2000,2,1.6,1.4,1,1.3,0.8,1,1.6,1,1.6,0.6,0.8
580201-ปัตตานี จ.ปัตตานี,2001,1,1.2,1.4,0.8,0.7,1.2,1.3,1.3,1.3,0.7,0.6,0.9
580201-ปัตตานี จ.ปัตตานี,2002,1.8,2.1,1.9,1.4,0.9,0.8,1.5,1.3,1.4,1,0.6,1
580201-ปัตตานี จ.ปัตตานี,2003,1.4,1.5,1.5,0.9,0.8,1,0.9,1.6,1.7,1.1,0.7,0.9
580201-ปัตตานี จ.ปัตตานี,2004,1.8,1.9,1.6,1.3,1,1.5,1.4,1.2,0.6,1,1,1.4
580201-ปัตตานี จ.ปัตตานี,2005,1.7,1.7,1.9,1.5,1,0.7,1.1,1.4,1.3,0.6,0.7,0.5
580201-ปัตตานี จ.ปัตตานี,2006,1.5,1.8,1,0.9,0.8,1.3,1.3,1.6,1.3,1.2,0.9,1.3
580201-ปัตตานี จ.ปัตตานี,2007,2.1,1.6,1.5,1.3,1.2,1.1,1.3,2.1,1.6,1.2,0.9,1.2
580201-ปัตตานี จ.ปัตตานี,2008,1.2,1.7,1.8,1,1.4,1,1.3,1.3,1.7,1.6,0.7,1.1
580201-ปัตตานี จ.ปัตตานี,2009,1.6,1.8,1.2,1.3,1.2,1.5,1.7,2,1.8,1.6,0.7,1.3
580201-ปัตตานี จ.ปัตตานี,2010,1.1,1.3,1.3,0.9,1,1.3,1.1,0.7,0.7,0.8,0.6,0.4
580201-ปัตตานี จ.ปัตตานี,2011,0.9,0.8,0.7,0.7,0.6,0.7,0.8,1,1,0.8,0.5,0.5
580201-ปัตตานี จ.ปัตตานี,2012,0.4,0.5,0.6,0.6,0.9,0.8,1.1,1.1,1.2,0.5,0.4,0.2
580201-ปัตตานี จ.ปัตตานี,2013,0.7,1,1,0.9,1.3,1.6,1.5,1.7,1.6,1.7,0.7,0.6
580201-ปัตตานี จ.ปัตตานี,2014,0.8,1.2,1.2,1.2,1.2,0.9,1.4,1.5,1.3,1.2,0.5,0.6
580201-ปัตตานี จ.ปัตตานี,2015,0.7,0.9,1.3,1,1.1,1.2,1.3,1.5,1.5,0.9,0.7,0.7
580201-ปัตตานี จ.ปัตตานี,2016,1,1.5,1.4,1.9,1.5,1,1.1,1.9,2.1,1.8,1.1,0.6
580201-ปัตตานี จ.ปัตตานี,2017,0.6,1.4,1.4,1.4,1.2,1.1,1.4,1.7,0.7,1.5,0.8,0.8
580201-ปัตตานี จ.ปัตตานี,2018,0.7,1,1.2,1.1,1.1,0.9,1.5,1.9,1.5,1,0.5,0.2
580201-ปัตตานี จ.ปัตตานี,2019,0,0,0,0,0,0.6,1.2,1.5,1.1,0.8,0.9,0.7
580201-ปัตตานี จ.ปัตตานี,2020,1.2,1.2,1.5,1.3,1.4,1,0.9,1.1,1.3,1.6,0.7,0.6
580201-ปัตตานี จ.ปัตตานี,2021,1,1,1.4,1.7,1.3,1.6,1.2,1.4,1.6,1.6,1,1.4
580201-ปัตตานี จ.ปัตตานี,2022,1.4,1.3,1.4,1.3,1.6,1.8,1.4,1.7,1.6,1.2,1.2,0.9
