Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
581301-ยะลา สกษ. จ.ยะลา,2001,287.4,47.8,209.3,124.6,231.6,88.7,203.9,132.2,230.3,447.2,266.2,449
581301-ยะลา สกษ. จ.ยะลา,2003,48.9,69.1,139.3,57.3,173.9,189.7,131.8,170.2,121.9,438.1,205.8,298.3
581301-ยะลา สกษ. จ.ยะลา,2004,21.2,11.7,29.3,63,211.6,-,309,136.9,340.4,374.2,113.2,193.8
581301-ยะลา สกษ. จ.ยะลา,2005,30.3,6.4,83.2,66.7,220.2,111.6,276.1,275.9,160.1,260.3,346.8,1074.3
581301-ยะลา สกษ. จ.ยะลา,2006,89.8,236.7,149.4,218.8,147.8,76,157,168.7,304.9,245.5,154.6,266.2
581301-ยะลา สกษ. จ.ยะลา,2007,203.5,1.2,117.4,98,384.1,197,216.2,106.6,86.3,327.4,109.4,539.6
581301-ยะลา สกษ. จ.ยะลา,2008,91.6,70,184.7,65.3,410.1,140.9,217,253.6,112.8,166.1,561.7,414.7
581301-ยะลา สกษ. จ.ยะลา,2009,222.6,11.7,182,86.8,187.7,34.8,180.1,140.5,105.6,177.1,659.9,193.2
581301-ยะลา สกษ. จ.ยะลา,2010,145.6,24.7,104.5,37.7,140.6,153.3,129.6,434.9,217.5,385.5,534,463.3
581301-ยะลา สกษ. จ.ยะลา,2011,364.8,15.7,246,90,193.8,326.2,151.5,318.4,71.2,233.1,608.1,718.4
581301-ยะลา สกษ. จ.ยะลา,2012,305.1,10.4,134.3,269.1,32,40,49.1,222.2,193.7,228.9,158.5,504.1
581301-ยะลา สกษ. จ.ยะลา,2013,97.9,344.7,15.8,279.8,208.9,66.3,78.6,327.9,234.9,283.7,408.3,306.4
581301-ยะลา สกษ. จ.ยะลา,2014,34.6,-,76.3,21.4,142.1,65.1,75.2,122.5,156.6,194.9,366.7,823.8
581301-ยะลา สกษ. จ.ยะลา,2015,61.8,0.2,8.7,68.5,288.5,25.3,147.6,176.4,197.7,317.4,336,125.7
581301-ยะลา สกษ. จ.ยะลา,2016,102.9,51.5,0.2,6,18.4,170.9,130.9,97,124.1,111.6,202.6,698.9
581301-ยะลา สกษ. จ.ยะลา,2017,695.7,45.8,217.8,288.6,202.8,172.5,145.1,364.5,195.9,172.7,905.3,260.3
581301-ยะลา สกษ. จ.ยะลา,2018,130.1,55.8,40.8,270,57.5,100.6,89.8,64.2,280.8,292.5,216.5,641.7
581301-ยะลา สกษ. จ.ยะลา,2019,222.3,25.8,24.5,133.6,256,186.2,231,136.7,153.7,384.4,153.4,189.6
581301-ยะลา สกษ. จ.ยะลา,2020,15,133.8,1.3,105.8,286.1,332.8,540.5,272.5,237.6,265.1,342.8,644.6
581301-ยะลา สกษ. จ.ยะลา,2021,316.6,2.7,200.5,129.1,375.2,302.7,75.9,204.2,247.8,73.6,287.5,343.8
581301-ยะลา สกษ. จ.ยะลา,2022,3.9,404.9,193.7,180.2,238.4,179.6,129,208.9,81.1,359.8,404.1,667.3
