Zip_Code,Year,1,2,3,4,5,6,7,8,9,10,11,12
581301-ยะลา สกษ. จ.ยะลา,2006,27.6,28.2,29.4,29.8,29.2,28.8,29.3,29.3,28.5,28.1,27.9,27.3
581301-ยะลา สกษ. จ.ยะลา,2007,26.3,27.6,28.8,29.6,29.5,29.2,28.8,28.9,28.8,28.9,27.6,27
581301-ยะลา สกษ. จ.ยะลา,2008,27.1,27,28.6,29.7,29.4,28.8,28.9,28.5,29,29.1,28.3,26.9
581301-ยะลา สกษ. จ.ยะลา,2009,25.9,28.1,28.8,30,29.6,30,29.2,29.3,28.8,28.8,28.2,26.6
581301-ยะลา สกษ. จ.ยะลา,2010,27.4,28.3,29.1,30.1,30.9,29.8,29.4,29.3,28.7,28.9,28.2,27.5
581301-ยะลา สกษ. จ.ยะลา,2011,25.9,27.3,28.5,28.5,29.4,29,28.9,28.5,28.9,28.7,27.9,27.1
581301-ยะลา สกษ. จ.ยะลา,2012,27.1,28.6,28.4,29.4,29.8,29.8,29.8,29.6,29.5,28.2,28.6,28.1
581301-ยะลา สกษ. จ.ยะลา,2013,27,27.5,29.5,30.5,29.7,29.3,29.3,29,29.1,28.6,28.3,27.4
581301-ยะลา สกษ. จ.ยะลา,2014,25.6,26.3,27.5,29.9,30.5,30.3,29.7,29.9,28.7,28.5,28.1,28.4
581301-ยะลา สกษ. จ.ยะลา,2015,25.8,27.3,28.3,30.7,30.5,29.7,29.3,29,29.1,28.9,28.5,27.7
581301-ยะลา สกษ. จ.ยะลา,2016,28.4,27.3,29.5,30.7,31.6,30.5,29.9,29.5,29.2,29.6,29.7,28.3
581301-ยะลา สกษ. จ.ยะลา,2017,27,27.2,29,29.7,30.1,29.2,29.2,28.9,29,29.3,28.6,28
581301-ยะลา สกษ. จ.ยะลา,2018,27.2,26.5,29.4,28.9,29,29.9,29.7,30,28.6,28.9,27.6,28.5
581301-ยะลา สกษ. จ.ยะลา,2019,25.8,27.2,30.2,30.2,31.3,29.5,28.8,28.9,29,28.1,28.1,26.8
581301-ยะลา สกษ. จ.ยะลา,2020,26.9,27.6,28.8,30,30,29.3,28.8,28.9,28.6,28.7,27.8,27.3
581301-ยะลา สกษ. จ.ยะลา,2021,27.2,28.2,29.1,29.2,29.3,29.5,29.4,29.1,28.6,29,28.4,27.4
581301-ยะลา สกษ. จ.ยะลา,2022,27.7,28.4,28.8,29.6,29.3,28.7,29.4,29,29.5,28.5,28.6,27
