zip_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
300201,1982,37.0,34.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,37.0,2.0,2.0
300201,1983,2.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,11.0,11.0,2.0
300201,1984,2.0,37.0,41.0,35.0,32.0,41.0,41.0,41.0,41.0,41.0,37.0,34.0
300201,1985,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,32.0,37.0,37.0
300201,1986,32.0,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,32.0,37.0
300201,1987,37.0,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,32.0,34.0,37.0
300201,1988,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,19.0,44.0,19.0
300201,1989,7.0,-999.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,19.0,37.0
300201,1990,45.0,39.0,41.0,41.0,32.0,41.0,41.0,41.0,32.0,37.0,37.0,37.0
300201,1991,41.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,34.0,11.0,37.0
300201,1992,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,11.0,22.0,37.0
300201,1993,37.0,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,39.0,37.0
300201,1994,44.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,45.0,44.0
300201,1995,45.0,45.0,41.0,41.0,41.0,41.0,41.0,41.0,26.0,37.0,2.0,41.0
300201,1996,37.0,37.0,41.0,41.0,41.0,41.0,41.0,41.0,45.0,35.0,37.0,37.0
300201,1997,44.0,41.0,32.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,45.0,37.0
300201,1998,45.0,44.0,41.0,32.0,32.0,35.0,32.0,32.0,39.0,37.0,2.0,2.0
300201,1999,5.0,39.0,37.0,32.0,32.0,41.0,32.0,41.0,37.0,37.0,37.0,11.0
300201,2000,37.0,34.0,26.0,-999.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,1.0
300201,2001,1.0,1.0,1.0,1.0,34.0,32.0,1.0,1.0,34.0,44.0,1.0,1.0
300201,2002,1.0,1.0,1.0,2.0,26.0,35.0,32.0,1.0,1.0,1.0,1.0,1.0
300201,2003,1.0,2.0,34.0,32.0,26.0,1.0,37.0,32.0,1.0,43.0,1.0,1.0
300201,2004,1.0,44.0,32.0,32.0,26.0,34.0,26.0,32.0,1.0,1.0,2.0,1.0
300201,2005,1.0,32.0,44.0,32.0,44.0,37.0,32.0,32.0,37.0,32.0,37.0,37.0
300201,2006,37.0,34.0,32.0,32.0,30.0,33.0,32.0,32.0,37.0,37.0,2.0,33.0
300201,2007,2.0,44.0,37.0,32.0,41.0,32.0,33.0,41.0,41.0,26.0,26.0,32.0
300201,2008,42.0,41.0,37.0,32.0,41.0,33.0,37.0,35.0,32.0,44.0,36.0,37.0
300201,2009,44.0,37.0,37.0,41.0,32.0,35.0,35.0,32.0,44.0,38.0,37.0,2.0
300201,2010,37.0,37.0,32.0,32.0,33.0,32.0,35.0,32.0,37.0,16.0,8.0,37.0
300201,2011,37.0,37.0,37.0,44.0,44.0,32.0,32.0,32.0,32.0,44.0,37.0,10.0
300201,2012,2.0,37.0,41.0,44.0,37.0,32.0,32.0,32.0,37.0,38.0,37.0,37.0
300201,2013,38.0,37.0,37.0,32.0,32.0,32.0,32.0,44.0,1.0,37.0,37.0,37.0
300201,2014,37.0,37.0,37.0,32.0,32.0,32.0,32.0,33.0,34.0,44.0,37.0,37.0
300201,2015,32.0,2.0,36.0,32.0,32.0,34.0,33.0,32.0,35.0,38.0,2.0,2.0
300201,2016,3.0,2.0,9.0,41.0,41.0,34.0,32.0,44.0,35.0,37.0,37.0,2.0
300201,2017,37.0,37.0,39.0,41.0,43.0,37.0,41.0,35.0,44.0,37.0,2.0,37.0
300201,2018,26.0,37.0,37.0,41.0,41.0,37.0,32.0,32.0,32.0,38.0,8.0,37.0
